NOME_ALUNO,Questão 1,Questão 2,Questão 3,Questão 4,Questão 5,Questão 6,Questão 7,Questão 8,Questão 9,Media_Notas,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,TOTAL_QUESTOES,TAXA_ENGAJAMENTO
Aluno 01,10,10,10,10,10,0,0,10,10,8,5,8,9,56
Aluno 02,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 03,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 04,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 05,10,10,10,10,10,10,10,10,10,10,5,9,9,56
Aluno 06,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 07,0,10,10,10,10,0,10,10,5,7,5,8,9,56
Aluno 08,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 09,10,10,10,10,10,10,10,10,10,10,4,9,9,44
Aluno 10,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 11,10,10,10,10,0,10,10,10,10,9,9,9,9,100
Aluno 12,10,0,10,10,10,10,10,10,10,9,9,9,9,100
Aluno 13,10,10,10,10,10,10,10,10,10,10,2,9,9,22
Aluno 14,0,0,0,0,10,0,0,10,0,2,6,6,9,67
Aluno 15,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 16,0,0,10,10,0,5,10,10,10,6,7,9,9,78
Aluno 17,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 18,10,10,10,0,0,10,10,10,5,7,8,9,9,89
Aluno 19,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 20,10,10,10,0,10,10,10,10,10,9,5,8,9,56
Aluno 21,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 22,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 24,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 25,10,10,10,10,10,10,10,0,0,8,5,7,9,56
Aluno 26,10,10,10,0,10,5,10,0,10,7,9,9,9,100
Aluno 27,10,10,10,10,10,10,0,0,0,7,5,6,9,56
Aluno 28,10,10,10,10,10,10,10,0,10,9,9,9,9,100
Aluno 29,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 30,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 31,10,10,0,10,10,10,10,10,10,9,9,9,9,100
Aluno 32,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 33,10,10,10,10,10,10,0,10,0,8,6,7,9,67
Aluno 34,10,10,10,10,10,10,10,10,10,10,9,9,9,100
Aluno 35,0,0,10,10,10,10,10,10,0,7,5,9,9,56
Aluno 36,10,0,10,10,10,10,10,10,10,9,8,9,9,89
Aluno 37,10,10,10,10,10,10,0,0,0,7,5,6,9,56
Aluno 38,,,,,,,,,,,,0,9,0
Aluno 39,,,,,,,,,,,,0,9,0